# Mains_Frequency_(Hz) =,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sample_Frequency_(Hz) =,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Filter_Delay_(ms) =,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sensor_Data_Units =,uV,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Headset_Name =,DSI-24 SN:3129,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data_Logger =,DSI-Streamer-v.1.08.120,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date =,8/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time =, 12:21:15.311 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Patient_ID =,X M 01-JAN-2000 X,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Record_ID =,Startdate 13-AUG-2025 EEG_XX X X,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Comments =,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference location:,Pz,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Trigger Source,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Channel_Number =,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,CMF,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments
Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3:,X2:REOG,F7,F8,X1:LEOG,A2,T6,T4,Pz,Trigger,Time_Offset,ADC_Status,ADC_Sequence,Event,Comments
0.0000,2.1,-53.9,52.1,12.6,26.4,-40.7,-37.1,-13.1,-892.5,-13.2,122.4,89.6,-51.2,-72.0,-36.5,-83.3,-9.9,-3422.1,105.2,-43.3,-2347.8,-37.8,-50.4,-66.1,0,0,6,0,8,0,
0.0033,23.7,15.9,96.7,75.0,68.0,14.7,14.7,87.5,-1264.4,22.4,163.1,122.4,-0.9,-18.6,13.7,-39.8,-9.6,-3360.0,147.1,15.5,-2284.2,4.5,-8.7,-38.0,0,0,12,0,9,0,
0.0067,-50.7,-68.3,33.2,-8.7,4.8,-58.1,-58.9,-16.1,-1041.3,-30.5,106.0,68.1,-74.3,-82.5,-53.2,-100.9,-9.9,-3430.5,86.0,-61.6,-2350.2,-69.8,-69.9,-88.5,0,0,18,0,10,0,
0.0100,28.2,5.1,92.5,57.9,67.7,1.2,7.5,45.1,-1190.0,23.0,159.8,123.9,4.8,-24.9,9.0,-42.5,-9.9,-3385.5,145.9,-0.6,-2303.1,0.3,-9.3,-35.0,0,0,24,0,11,0,
0.0133,-33.6,-26.9,60.4,34.8,27.6,-25.8,-20.9,57.9,-1338.8,-11.4,123.0,86.3,-34.1,-62.1,-28.1,-75.5,-9.9,-3428.7,116.0,-29.0,-2344.2,-44.1,-40.2,-75.0,0,0,30,0,12,0,
0.0167,-1.2,-35.0,67.9,23.7,42.6,-34.8,-33.5,5.7,-1041.3,-11.7,146.0,107.5,-36.2,-56.1,-26.9,-77.9,-9.6,-3426.0,125.0,-27.5,-2342.1,-27.3,-50.4,-51.4,0,0,36,0,13,0,
0.0200,25.5,-8.4,82.9,57.9,54.8,0.0,-1.5,53.2,-1264.4,14.1,154.1,122.4,-10.8,-40.5,-7.8,-57.2,-9.6,-3406.8,141.4,-12.3,-2323.5,-21.0,-30.3,-52.3,0,0,42,0,14,0,
0.0233,-38.4,-39.8,60.7,28.8,28.5,-30.9,-35.6,42.7,-1115.6,-10.2,132.0,89.6,-46.7,-67.5,-34.7,-84.8,-10.2,-3437.4,118.4,-34.7,-2350.5,-40.5,-60.6,-81.0,0,0,48,0,15,0,
0.0267,5.7,-24.5,82.0,42.9,58.1,-17.1,-17.9,15.2,-1041.3,3.3,161.0,126.0,-37.7,-46.8,-16.1,-66.8,-9.6,-3427.5,136.1,-19.1,-2337.6,-23.4,-33.6,-55.0,0,0,54,0,16,0,
0.0300,-18.9,-15.0,74.5,49.2,42.6,-20.4,-20.6,55.0,-1338.8,-3.6,142.7,105.1,-33.5,-67.8,-30.8,-81.5,-9.6,-3427.8,132.2,-13.4,-2343.3,-42.3,-49.8,-67.6,0,0,60,0,17,0,
0.0333,-0.3,-20.4,92.2,53.1,61.1,-9.0,-13.8,48.7,-966.9,-2.1,174.7,139.8,-12.0,-33.3,-18.8,-69.2,-9.6,-3395.1,151.3,-1.5,-2311.5,-28.2,-36.6,-50.2,0,0,66,0,18,0,
0.0367,-1.5,-44.0,72.7,30.3,39.9,-34.5,-37.7,-4.2,-1041.3,-40.4,161.6,121.5,-44.0,-65.1,-40.0,-91.1,-9.6,-3444.0,132.8,-24.8,-2359.2,-53.9,-61.8,-89.1,0,0,72,0,19,0,
0.0400,5.7,1.5,106.5,84.9,71.9,3.6,6.3,87.5,-1338.8,6.3,189.0,157.4,-1.2,-37.5,-2.1,-55.1,-9.9,-3402.0,169.3,23.6,-2312.7,-24.0,-21.3,-44.8,0,0,78,0,20,0,
0.0433,-33.3,-42.2,77.5,34.8,43.8,-39.8,-41.3,-0.3,-1041.3,-37.7,183.1,145.1,-53.3,-72.6,-42.7,-90.5,-9.6,-3433.5,140.5,-13.7,-2352.3,-53.9,-54.9,-83.4,0,0,84,0,21,0,
0.0467,8.7,-18.6,100.5,69.9,71.6,-6.3,-10.8,29.0,-1115.6,-8.1,207.2,185.1,-26.1,-57.0,-22.1,-71.3,-9.6,-3438.3,164.8,29.6,-2349.3,-33.9,-39.3,-57.4,0,0,90,0,22,0,
0.0500,12.6,-8.7,125.4,94.8,88.7,24.0,1.8,82.4,-1115.6,0.9,238.0,199.8,-12.9,-38.4,-4.2,-54.8,-9.9,-3406.8,199.0,50.2,-2315.4,-21.6,-24.0,-48.1,0,0,96,0,23,0,
0.0533,-15.3,-65.9,78.4,37.2,50.6,-59.6,-53.5,-19.7,-1041.3,-29.0,216.8,186.9,-63.5,-81.0,-46.6,-100.3,-9.9,-3471.0,154.9,11.4,-2377.5,-66.8,-69.9,-81.3,0,0,102,0,24,0,
0.0567,59.7,27.2,158.9,126.0,113.0,27.3,21.2,86.0,-1115.6,6.0,298.0,255.9,14.1,-18.0,17.0,-40.4,-9.9,-3402.0,237.9,87.0,-2319.6,-8.7,-7.5,-21.2,0,0,108,0,25,0,
0.0600,-29.4,-38.6,106.2,74.7,68.0,-36.0,-44.0,33.8,-1115.6,-33.5,252.3,229.9,-47.0,-74.7,-48.7,-98.8,-9.6,-3484.2,183.4,48.4,-2382.3,-62.6,-68.4,-98.0,0,0,114,0,26,0,
0.0633,42.6,-4.2,151.1,104.7,107.3,5.4,-10.8,21.2,-966.9,-9.9,308.2,272.9,-18.0,-40.5,-16.1,-64.4,-9.6,-3450.9,231.0,72.9,-2354.7,-39.0,-30.6,-44.2,0,0,120,0,27,0,
0.0667,49.2,10.8,163.7,137.7,113.3,-4.8,-10.5,82.4,-1041.3,10.2,332.1,301.0,-19.8,-48.3,-18.5,-71.9,-9.9,-3417.0,252.9,109.1,-2323.5,-33.6,-44.7,-53.5,0,0,126,0,28,0,
0.0700,16.5,-26.0,147.5,103.8,98.0,-28.8,-41.3,27.5,-818.1,-8.1,329.7,295.6,-43.4,-68.4,-41.5,-92.8,-9.9,-3436.2,234.6,87.0,-2345.4,-49.4,-60.6,-68.4,0,0,132,0,29,0,
0.0733,72.0,12.6,178.4,134.7,130.1,10.8,-9.9,40.9,-892.5,-3.3,370.3,334.2,-0.6,-39.0,-14.9,-65.9,-9.9,-3425.4,268.5,117.1,-2327.1,-29.7,-34.5,-44.8,0,0,138,0,30,0,
0.0767,14.7,-8.4,160.1,133.2,111.2,-6.3,-21.5,70.8,-1190.0,-31.1,352.7,323.7,-20.7,-58.8,-34.1,-86.0,-9.6,-3431.1,251.7,115.9,-2331.6,-51.5,-54.6,-60.7,0,0,144,0,31,0,
0.0800,42.0,-12.0,175.1,124.2,122.6,-10.5,-19.1,27.2,-743.8,-9.3,377.2,339.2,-9.0,-42.3,-21.5,-73.1,-9.6,-3441.3,269.4,112.4,-2340.3,-36.3,-38.1,-45.7,0,0,150,0,32,0,
0.0833,64.8,-8.7,170.3,131.7,112.7,-9.0,-23.3,35.2,-966.9,-30.2,369.7,338.0,-23.1,-61.2,-38.0,-90.8,-9.9,-3452.4,267.6,115.3,-2353.8,-58.4,-54.3,-64.0,0,0,156,0,33,0,
0.0867,55.2,11.1,200.2,159.3,136.0,12.6,-0.6,88.1,-1041.3,-2.4,406.7,360.1,6.9,-36.9,-12.6,-64.7,-9.9,-3426.3,302.4,133.0,-2323.8,-39.0,-30.6,-40.1,0,0,162,0,34,0,
0.0900,47.4,-29.6,169.4,114.9,109.4,-23.1,-39.8,1.8,-743.8,-41.0,383.4,342.2,-38.6,-70.8,-48.7,-97.6,-10.2,-3462.9,267.6,95.3,-2360.4,-71.6,-62.1,-75.3,0,0,168,0,35,0,
0.0933,69.3,22.5,205.6,169.8,147.1,24.9,5.7,86.9,-1115.6,8.7,414.8,376.6,-10.5,-38.7,-10.5,-62.9,-9.6,-3421.5,301.2,152.4,-2313.9,-33.9,-31.2,-43.3,0,0,174,0,36,0,
0.0967,41.7,-9.3,193.6,153.9,141.1,3.3,-16.2,64.8,-818.1,-35.9,411.5,384.3,-23.1,-51.9,-32.9,-82.1,-9.9,-3451.8,287.4,151.5,-2343.6,-51.2,-45.0,-50.5,0,0,180,0,37,0,
0.1000,69.9,-22.2,182.2,131.4,121.4,-5.7,-29.3,14.0,-892.5,-31.7,401.1,363.1,-38.9,-78.9,-43.3,-94.3,-9.3,-3474.3,279.3,110.9,-2368.2,-66.2,-60.9,-83.1,0,0,186,0,38,0,
0.1033,94.2,31.4,226.5,194.4,163.9,37.2,21.2,115.6,-1041.3,0.6,445.3,405.2,14.4,-34.2,1.5,-49.1,-9.6,-3413.7,331.7,173.9,-2309.1,-36.6,-12.9,-29.3,0,0,192,0,39,0,
0.1067,24.9,-45.8,164.3,112.8,103.1,-44.9,-63.4,9.0,-743.8,-59.8,390.9,346.1,-59.9,-82.2,-59.8,-112.6,-9.9,-3487.5,266.7,95.6,-2379.6,-79.7,-91.8,-83.4,0,0,198,0,40,0,
0.1100,97.5,24.2,218.8,172.8,158.2,29.4,5.4,61.5,-892.5,-14.4,439.6,398.4,-6.9,-34.5,-5.4,-56.3,-9.3,-3435.6,316.2,153.9,-2333.7,-38.1,-29.1,-37.1,0,0,204,0,41,0,
0.1133,35.7,14.1,184.6,147.9,124.4,-3.9,-27.2,73.2,-966.9,-28.4,396.6,361.6,-44.6,-77.4,-33.8,-90.5,-9.6,-3465.6,282.3,133.0,-2349.3,-70.7,-66.0,-80.7,0,0,210,0,42,0,
0.1167,65.4,-40.1,176.0,126.3,129.5,-2.7,-33.5,14.9,-743.8,-31.1,406.7,371.8,-29.6,-66.6,-35.0,-83.9,-9.3,-3453.9,278.7,117.4,-2345.4,-54.5,-59.1,-72.6,0,0,216,0,43,0,
0.1200,95.1,-5.1,200.2,165.0,144.1,-1.8,-5.7,67.2,-1041.3,-6.0,421.4,387.9,-9.3,-50.4,-10.2,-59.9,-9.6,-3435.3,302.1,156.6,-2324.7,-43.5,-40.2,-44.5,0,0,222,0,44,0,
0.1233,36.3,-15.9,163.4,127.5,112.4,-26.4,-40.1,55.6,-1041.3,-53.5,381.6,348.8,-38.0,-76.8,-42.7,-94.3,-9.6,-3459.3,261.0,118.3,-2349.3,-76.4,-73.5,-81.6,0,0,228,0,45,0,
